configuration [max_depth - splitter - criterion],iteration,class,accuracy_score,balanced_accuracy_score,balanced_accuracy_score_adjusted,f1_score,recall_score,precision_score
4 - best - entropy,2,3,0.9642857142857143,0.9743589743589745,0.9615384615384617,1.0,1.0,1.0
4 - random - entropy,2,1,0.9642857142857143,0.9743589743589745,0.9615384615384617,0.9411764705882353,1.0,0.8888888888888888
4 - random - entropy,2,2,0.9642857142857143,0.9743589743589745,0.9615384615384617,0.96,0.9230769230769231,1.0
4 - random - entropy,2,3,0.9642857142857143,0.9743589743589745,0.9615384615384617,1.0,1.0,1.0
8 - best - entropy,2,1,0.9642857142857143,0.9743589743589745,0.9615384615384617,0.9411764705882353,1.0,0.8888888888888888
8 - best - entropy,2,2,0.9642857142857143,0.9743589743589745,0.9615384615384617,0.96,0.9230769230769231,1.0
8 - best - entropy,2,3,0.9642857142857143,0.9743589743589745,0.9615384615384617,1.0,1.0,1.0
8 - random - entropy,2,1,0.9642857142857143,0.9743589743589745,0.9615384615384617,0.9411764705882353,1.0,0.8888888888888888
8 - random - entropy,2,2,0.9642857142857143,0.9743589743589745,0.9615384615384617,0.96,0.9230769230769231,1.0
8 - random - entropy,2,3,0.9642857142857143,0.9743589743589745,0.9615384615384617,1.0,1.0,1.0
None - best - gini,3,1,0.9642857142857143,0.9696969696969697,0.9545454545454546,1.0,1.0,1.0
None - best - gini,3,2,0.9642857142857143,0.9696969696969697,0.9545454545454546,0.9523809523809523,0.9090909090909091,1.0
None - best - gini,3,3,0.9642857142857143,0.9696969696969697,0.9545454545454546,0.9473684210526315,1.0,0.9
None - random - gini,3,1,0.8214285714285714,0.8484848484848485,0.7727272727272726,0.8888888888888888,1.0,0.8
None - random - gini,3,2,0.8214285714285714,0.8484848484848485,0.7727272727272726,0.7058823529411765,0.5454545454545454,1.0
None - random - gini,3,3,0.8214285714285714,0.8484848484848485,0.7727272727272726,0.8571428571428571,1.0,0.75
2 - best - gini,3,1,0.9285714285714286,0.9393939393939394,0.9090909090909092,1.0,1.0,1.0
2 - best - gini,3,2,0.9285714285714286,0.9393939393939394,0.9090909090909092,0.9,0.8181818181818182,1.0
2 - best - gini,3,3,0.9285714285714286,0.9393939393939394,0.9090909090909092,0.9,1.0,0.8181818181818182
2 - random - gini,3,1,0.75,0.7609427609427609,0.6414141414141413,0.9411764705882353,1.0,0.8888888888888888
2 - random - gini,3,2,0.75,0.7609427609427609,0.6414141414141413,0.6956521739130435,0.7272727272727273,0.6666666666666666
2 - random - gini,3,3,0.75,0.7609427609427609,0.6414141414141413,0.625,0.5555555555555556,0.7142857142857143
4 - best - gini,3,1,0.9642857142857143,0.9696969696969697,0.9545454545454546,1.0,1.0,1.0
4 - best - gini,3,2,0.9642857142857143,0.9696969696969697,0.9545454545454546,0.9523809523809523,0.9090909090909091,1.0
4 - best - gini,3,3,0.9642857142857143,0.9696969696969697,0.9545454545454546,0.9473684210526315,1.0,0.9
